From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment;;;;
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu;;;;
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram;;;;
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu;;;;
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan;;;;
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan;;;;
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen;;;;
10251;1329;sea;430;5112;550;5122;559;;Papua-New;Britain;;;
7251;4421;sea;7010;-1;-1;-1;-1;;New;Britain-Latangai;;;
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert;Islands;;;
4268;4231;sea;5741;-1;-1;-1;-1;;New;Caledonia;1;;
1237;12120;sea;5660;-1;-1;-1;-1;;New;Caledonia;2;;
12632;1814;sea;5637;-1;-1;-1;-1;;North-South;NZ;Islands;;
10231;10248;sea;430;-1;-1;-1;-1;;New;Guinea-Fergusson;;;
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia;;;;
1042;7437;sea;6819;-1;-1;-1;-1;;San;Cristobal-Guadalcanal;;;
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda;;;;
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul;;;;
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa;Isabel;;;
4252;1085;sea;5868;-1;-1;-1;-1;;Santa;Isabel-Malaita;;;
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal;;;;
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia;;;;
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska;;;;
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu;;;;
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku;;;;
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai;;;;
1399;1515;sea;220;-1;-1;-1;-1;;Kurils;1;;;
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils;2;;;
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido;;;;
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado;;;;
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku;;;;
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima;;;;
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea;;;;
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa;1;;;
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa;2;;;
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian;;;;
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska;;;;
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak;;;;
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui;;;;
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu;;;;
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai;;;;
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea;;;;
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan;Islands;;;
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua;Levu;;;
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti;;;;
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae;;;;
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap;;;;
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap;;;;
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall;Islands;;;
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines;1;;;
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines;2;;;
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin;;;;
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo;Island;;;
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia;;;;
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad;;;;
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad;;;;
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St;Vincent;;;
379;11350;sea;5533;-1;-1;-1;-1;;St;Vincent-Barbados;;;
379;13009;sea;5533;-1;-1;-1;-1;;St;Vincent-St;Lucia;;
13009;177;sea;5533;-1;-1;-1;-1;;St;Lucia-Martinique;;;
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica;;;;
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe;;;;
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat;;;;
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla;;;;
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin;Islands;;;
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto;Rico-Virgin;Islands;;
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus;;;;
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus;;;;
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece;;;;
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey;;;;
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey;;;;
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum;;;;
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey;;;;
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus;;;;
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch;Strait;;;
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru;Strait;;;
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu;;;;
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait;;;;
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait;;;;
3691;7813;sea;6261;-1;-1;-1;-1;;Cold;Ass-Strait;;;
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait;;;;
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait;;;;
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
6062;6205;sea;3590;-1;-1;-1;-1;;West;Scottish-Strait;;;
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan;Isle-Strait;;;
7304;4360;sea;8614;-1;-1;-1;-1;;New;Foundland-Strait;;;
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar;North;;;
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar;South;;;
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund;;;;
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus;;;;
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
12842;12018;impassable;-1;-1;-1;-1;-1;;Algeria;;;;
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
12842;13074;impassable;-1;-1;-1;-1;-1;;;;;;
2049;1126;impassable;-1;-1;-1;-1;-1;;;;;;
12842;1126;impassable;-1;-1;-1;-1;-1;;;;;;
2049;1967;impassable;-1;-1;-1;-1;-1;;;;;;
5035;1967;impassable;-1;-1;-1;-1;-1;;;;;;
5035;5053;impassable;-1;-1;-1;-1;-1;;;;;;
5035;4970;impassable;-1;-1;-1;-1;-1;;;;;;
8077;4970;impassable;-1;-1;-1;-1;-1;;;;;;
8077;9943;impassable;-1;-1;-1;-1;-1;;;;;;
8077;3987;impassable;-1;-1;-1;-1;-1;;;;;;
8077;9983;impassable;-1;-1;-1;-1;-1;;;;;;
8061;9983;impassable;-1;-1;-1;-1;-1;;;;;;
8061;4992;impassable;-1;-1;-1;-1;-1;;;;;;
10884;4992;impassable;-1;-1;-1;-1;-1;;;;;;
10884;7154;impassable;-1;-1;-1;-1;-1;;;;;;
10884;10037;impassable;-1;-1;-1;-1;-1;;;;;;
4962;10037;impassable;-1;-1;-1;-1;-1;;;;;;
4962;11940;impassable;-1;-1;-1;-1;-1;;;;;;
4962;4117;impassable;-1;-1;-1;-1;-1;;;;;;
12866;4117;impassable;-1;-1;-1;-1;-1;;;;;;
12866;7194;impassable;-1;-1;-1;-1;-1;;;;;;
12866;7136;impassable;-1;-1;-1;-1;-1;;;;;;
12866;13073;impassable;-1;-1;-1;-1;-1;;;;;;
12866;8069;impassable;-1;-1;-1;-1;-1;;;;;;
7985;8069;impassable;-1;-1;-1;-1;-1;;;;;;
10754;8069;impassable;-1;-1;-1;-1;-1;;;;;;
10754;7076;impassable;-1;-1;-1;-1;-1;;;;;;
10785;7076;impassable;-1;-1;-1;-1;-1;;;;;;
10785;4200;impassable;-1;-1;-1;-1;-1;;;;;;
10785;4133;impassable;-1;-1;-1;-1;-1;;;;;;
10785;9977;impassable;-1;-1;-1;-1;-1;;;;;;
11951;9977;impassable;-1;-1;-1;-1;-1;;;;;;
11951;1186;impassable;-1;-1;-1;-1;-1;;;;;;
11951;13078;impassable;-1;-1;-1;-1;-1;;;;;;
11951;7206;impassable;-1;-1;-1;-1;-1;;;;;;
1060;7206;impassable;-1;-1;-1;-1;-1;;;;;;
1060;4060;impassable;-1;-1;-1;-1;-1;;;;;;
1060;5078;impassable;-1;-1;-1;-1;-1;;;;;;
12764;5078;impassable;-1;-1;-1;-1;-1;;;;;;
12764;12033;impassable;-1;-1;-1;-1;-1;;;;;;
12764;12091;impassable;-1;-1;-1;-1;-1;;;;;;
12764;1143;impassable;-1;-1;-1;-1;-1;;;;;;
10869;1143;impassable;-1;-1;-1;-1;-1;;;;;;
7216;1143;impassable;-1;-1;-1;-1;-1;;;;;;
7216;10127;impassable;-1;-1;-1;-1;-1;;;;;;
7216;7117;impassable;-1;-1;-1;-1;-1;;;;;;
7216;10031;impassable;-1;-1;-1;-1;-1;;;;;;
7216;7144;impassable;-1;-1;-1;-1;-1;;;;;;
12099;7144;impassable;-1;-1;-1;-1;-1;;;;;;
12099;11974;impassable;-1;-1;-1;-1;-1;;;;;;
12099;12044;impassable;-1;-1;-1;-1;-1;;;;;;
12099;10097;impassable;-1;-1;-1;-1;-1;;;;;;
2064;10097;impassable;-1;-1;-1;-1;-1;;;;;;
2064;1206;impassable;-1;-1;-1;-1;-1;;;;;;
2064;12771;impassable;-1;-1;-1;-1;-1;;;;;;
2064;4138;impassable;-1;-1;-1;-1;-1;;;;;;
7987;4138;impassable;-1;-1;-1;-1;-1;;;;;;
7987;12836;impassable;-1;-1;-1;-1;-1;;;;;;
10900;12836;impassable;-1;-1;-1;-1;-1;;;;;;
10900;4961;impassable;-1;-1;-1;-1;-1;;;;;;
10900;8084;impassable;-1;-1;-1;-1;-1;;;;;;
10900;10739;impassable;-1;-1;-1;-1;-1;;;;;;
8103;10739;impassable;-1;-1;-1;-1;-1;;;;;;
8103;5060;impassable;-1;-1;-1;-1;-1;;;;;;
4902;5060;impassable;-1;-1;-1;-1;-1;;;;;;
4902;1473;impassable;-1;-1;-1;-1;-1;;;;;;
4902;4978;impassable;-1;-1;-1;-1;-1;;;;;;
5136;4978;impassable;-1;-1;-1;-1;-1;;;;;;
5136;4897;impassable;-1;-1;-1;-1;-1;;;;;;
5136;3123;impassable;-1;-1;-1;-1;-1;;;;;;
1956;3123;impassable;-1;-1;-1;-1;-1;;;;;;
1956;10780;impassable;-1;-1;-1;-1;-1;;;;;;
10917;10780;impassable;-1;-1;-1;-1;-1;;;;;;
10917;10805;impassable;-1;-1;-1;-1;-1;;;;;;
10917;10758;impassable;-1;-1;-1;-1;-1;;;;;;
7939;10758;impassable;-1;-1;-1;-1;-1;;;;;;
7939;8028;impassable;-1;-1;-1;-1;-1;;;;;;
7939;2056;impassable;-1;-1;-1;-1;-1;;;;;;
7939;1975;impassable;-1;-1;-1;-1;-1;;;;;;
7939;5101;impassable;-1;-1;-1;-1;-1;;;;;;
2068;5101;impassable;-1;-1;-1;-1;-1;;;;;;
10868;5101;impassable;-1;-1;-1;-1;-1;;;;;;
10868;10788;impassable;-1;-1;-1;-1;-1;;;;;;
10725;10788;impassable;-1;-1;-1;-1;-1;;;;;;
10725;2044;impassable;-1;-1;-1;-1;-1;;;;;;
10725;10771;impassable;-1;-1;-1;-1;-1;;;;;;
1897;10771;impassable;-1;-1;-1;-1;-1;;;;;;
1962;10771;impassable;-1;-1;-1;-1;-1;;;;;;
1962;8058;impassable;-1;-1;-1;-1;-1;;;;;;
10814;8058;impassable;-1;-1;-1;-1;-1;;;;;;
10814;5077;impassable;-1;-1;-1;-1;-1;;;;;;
10814;7992;impassable;-1;-1;-1;-1;-1;;;;;;
8035;7992;impassable;-1;-1;-1;-1;-1;;;;;;
8035;10875;impassable;-1;-1;-1;-1;-1;;;;;;
8035;5012;impassable;-1;-1;-1;-1;-1;;;;;;
10779;5012;impassable;-1;-1;-1;-1;-1;;;;;;
10779;7979;impassable;-1;-1;-1;-1;-1;;;;;;
10838;7979;impassable;-1;-1;-1;-1;-1;;;;;;
10838;4920;impassable;-1;-1;-1;-1;-1;;;;;;
1958;4920;impassable;-1;-1;-1;-1;-1;;;;;;
1958;5046;impassable;-1;-1;-1;-1;-1;;;;;;
1958;4022;impassable;-1;-1;-1;-1;-1;;;;;;
1958;1989;impassable;-1;-1;-1;-1;-1;;;;;;
8088;1989;impassable;-1;-1;-1;-1;-1;;;;;;
8088;7908;impassable;-1;-1;-1;-1;-1;;;;;;
10731;7908;impassable;-1;-1;-1;-1;-1;;;;;;
10731;4933;impassable;-1;-1;-1;-1;-1;;;;;;
10731;7958;impassable;-1;-1;-1;-1;-1;;;;;;
12842;7958;impassable;-1;-1;-1;-1;-1;;;;;;
4924;8030;impassable;-1;-1;-1;-1;-1;;;;;;
4976;8030;impassable;-1;-1;-1;-1;-1;;;;;;
4976;12768;impassable;-1;-1;-1;-1;-1;;;;;;
12894;12768;impassable;-1;-1;-1;-1;-1;;;;;;
12894;8118;impassable;-1;-1;-1;-1;-1;;;;;;
2059;8118;impassable;-1;-1;-1;-1;-1;;;;;;
2059;12740;impassable;-1;-1;-1;-1;-1;;;;;;
2018;12740;impassable;-1;-1;-1;-1;-1;;;;;;
5049;12740;impassable;-1;-1;-1;-1;-1;;;;;;
2048;12740;impassable;-1;-1;-1;-1;-1;;;;;;
8108;12740;impassable;-1;-1;-1;-1;-1;;;;;;
4932;12740;impassable;-1;-1;-1;-1;-1;;;;;;
4932;8118;impassable;-1;-1;-1;-1;-1;;;;;;
4932;5081;impassable;-1;-1;-1;-1;-1;;;;;;
5081;5024;impassable;-1;-1;-1;-1;-1;;;;;;
5081;12727;impassable;-1;-1;-1;-1;-1;;;;;;
5081;5093;impassable;-1;-1;-1;-1;-1;;;;;;
5093;12768;impassable;-1;-1;-1;-1;-1;;;;;;
5093;10870;impassable;-1;-1;-1;-1;-1;;;;;;
8060;10870;impassable;-1;-1;-1;-1;-1;;;;;;
10786;10870;impassable;-1;-1;-1;-1;-1;;;;;;
5006;10870;impassable;-1;-1;-1;-1;-1;;;;;;
5006;8030;impassable;-1;-1;-1;-1;-1;;;;;;
10815;4951;impassable;-1;-1;-1;-1;-1;;;;;;
4974;10744;impassable;-1;-1;-1;-1;-1;;;;;;
8101;4440;impassable;-1;-1;-1;-1;-1;;;;;;
1631;10815;impassable;-1;-1;-1;-1;-1;;;;;;
8101;1544;impassable;-1;-1;-1;-1;-1;;;;;;
8101;4562;impassable;-1;-1;-1;-1;-1;;;;;;
10815;10744;impassable;-1;-1;-1;-1;-1;;;;;;
4974;12879;impassable;-1;-1;-1;-1;-1;;;;;;
-1;-1;;-1;-1;-1;-1;-1;-1;;;;;
